DEPT .m 	Cali in	DT us/ft	GR  gAPI	LLD ohmm	LLS ohmm	MSFL ohmm	NPHI m3/m3	RHOB g/cm3	SP mV	MD M	TVDSS	UTME	UTMN
1234.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1234.206421	1222.814209	399497.9688	85648.5625
1234.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1234.306519	1222.912964	399498	85648.55469
1234.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1234.406494	1223.011719	399498.0313	85648.54688
1234.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1234.506592	1223.110474	399498.0313	85648.53125
1234.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1234.606567	1223.209229	399498.0625	85648.52344
1234.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1234.706665	1223.308106	399498.0938	85648.51563
1234.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1234.806641	1223.40686	399498.0938	85648.5
1234.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1234.906738	1223.505615	399498.125	85648.49219
1234.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1235.006836	1223.60437	399498.1563	85648.48438
1235.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1235.106812	1223.703125	399498.1563	85648.46875
1235.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1235.206909	1223.80188	399498.1875	85648.46094
1235.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1235.306885	1223.900635	399498.2188	85648.45313
1235.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1235.406982	1223.99939	399498.2188	85648.4375
1235.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1235.506958	1224.098145	399498.25	85648.42969
1235.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1235.607056	1224.196899	399498.2813	85648.42188
1235.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1235.707031	1224.295654	399498.2813	85648.40625
1235.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1235.807129	1224.394409	399498.3125	85648.39844
1235.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1235.907105	1224.493164	399498.3438	85648.39063
1235.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1236.007202	1224.591919	399498.3438	85648.38281
1236.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1236.1073	1224.690674	399498.375	85648.36719
1236.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1236.207275	1224.789429	399498.4063	85648.35938
1236.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1236.307373	1224.888184	399498.4063	85648.35156
1236.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1236.407349	1224.986939	399498.4375	85648.33594
1236.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1236.507446	1225.085815	399498.4688	85648.32813
1236.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1236.607422	1225.18457	399498.4688	85648.32031
1236.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1236.70752	1225.283325	399498.5	85648.30469
1236.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1236.807495	1225.38208	399498.5	85648.29688
1236.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1236.907593	1225.480835	399498.5313	85648.28906
1236.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1237.00769	1225.57959	399498.5625	85648.27344
1237.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1237.107666	1225.678345	399498.5625	85648.26563
1237.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1237.207764	1225.7771	399498.5938	85648.25781
1237.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1237.307739	1225.875855	399498.625	85648.24219
1237.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1237.407837	1225.974609	399498.625	85648.23438
