DEPTH	CALI	CORE_POR	DT	GR	LLD	LLS	MSFL	NPHI	RHOB	CORE_KH	CORE_KV	MD_m	RFT	TVDSS	UTME	UTMN
1224.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.51294	-999.25	1213.814819	400940.1875	87050.44531
1224.6	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.613037	-999.25	1213.914551	400940.1875	87050.44531
1224.7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.713013	-999.25	1214.01416	400940.1875	87050.4375
1224.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.81311	-999.25	1214.11377	400940.1875	87050.42969
1224.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1224.911377	-999.25	1214.211792	400940.3438	87050.61719
1225	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.008789	-999.25	1214.308838	400940.5938	87050.89844
1225.1	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.108887	-999.25	1214.408936	400940.5938	87050.89844
1225.2	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.208862	-999.25	1214.508911	400940.5938	87050.89844
1225.3	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.30896	-999.25	1214.609009	400940.5938	87050.89844
1225.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.408936	-999.25	1214.708984	400940.5938	87050.89844
1225.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.509033	-999.25	1214.809082	400940.5938	87050.89844
1225.6	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.609009	-999.25	1214.909058	400940.5938	87050.89844
1225.7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.709106	-999.25	1215.009155	400940.5938	87050.89844
1225.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.809204	-999.25	1215.109253	400940.5938	87050.89844
1225.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1225.90918	-999.25	1215.209229	400940.5938	87050.89844
1226	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.009277	-999.25	1215.309326	400940.5938	87050.89844
1226.1	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.109253	-999.25	1215.409302	400940.5938	87050.89844
1226.2	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.209351	-999.25	1215.509399	400940.5938	87050.89844
1226.3	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.309326	-999.25	1215.609375	400940.5938	87050.89844
1226.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.409424	-999.25	1215.709473	400940.5938	87050.89844
1226.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.509399	-999.25	1215.809448	400940.5938	87050.89844
1226.6	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.609497	-999.25	1215.909546	400940.5938	87050.89844
1226.7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.709595	-999.25	1216.009644	400940.5938	87050.89844
1226.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.80957	-999.25	1216.109619	400940.5938	87050.89844
1226.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1226.909668	-999.25	1216.209717	400940.5938	87050.89844
1227	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.009644	-999.25	1216.309692	400940.5938	87050.89844
1227.1	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.109741	-999.25	1216.40979	400940.5938	87050.89844
1227.2	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.209717	-999.25	1216.509766	400940.5938	87050.89844
1227.3	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.309815	-999.25	1216.609863	400940.5938	87050.89844
1227.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.40979	-999.25	1216.709839	400940.5938	87050.89844
1227.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.509888	-999.25	1216.809937	400940.5938	87050.89844
1227.6	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.609985	-999.25	1216.910034	400940.5938	87050.89844
1227.7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.709961	-999.25	1217.01001	400940.5938	87050.89844
1227.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.810059	-999.25	1217.110107	400940.5938	87050.89844
1227.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1227.910034	-999.25	1217.210083	400940.5938	87050.89844
1228	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.010132	-999.25	1217.310181	400940.5938	87050.89844
1228.1	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.110107	-999.25	1217.410156	400940.5938	87050.89844
1228.2	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.210205	-999.25	1217.510254	400940.5938	87050.89844
1228.3	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.310181	-999.25	1217.61023	400940.5938	87050.89844
1228.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.410278	-999.25	1217.710327	400940.5938	87050.89844
1228.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.510376	-999.25	1217.810425	400940.5938	87050.89844
1228.6	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.610352	-999.25	1217.9104	400940.5938	87050.89844
1228.7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.710449	-999.25	1218.010498	400940.5938	87050.89844
1228.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.810425	-999.25	1218.110474	400940.5938	87050.89844
1228.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1228.910523	-999.25	1218.210571	400940.5938	87050.89844
1229	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.010498	-999.25	1218.310547	400940.5938	87050.89844
1229.1	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.110596	-999.25	1218.410645	400940.5938	87050.89844
1229.2	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.210571	-999.25	1218.51062	400940.5938	87050.89844
1229.3	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.310669	-999.25	1218.610718	400940.5938	87050.89844
1229.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.410645	-999.25	1218.710693	400940.5938	87050.89844
1229.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.510742	-999.25	1218.810791	400940.5938	87050.89844
1229.6	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.61084	-999.25	1218.910889	400940.5938	87050.89844
1229.7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.710815	-999.25	1219.010864	400940.5938	87050.89844
1229.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.810913	-999.25	1219.110962	400940.5938	87050.89844
1229.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1229.910889	-999.25	1219.210938	400940.5938	87050.89844
1230	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.010986	-999.25	1219.311035	400940.5938	87050.89844
1230.1	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.110962	-999.25	1219.411011	400940.5938	87050.89844
1230.2	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.21106	-999.25	1219.511108	400940.5938	87050.89844
1230.3	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.311035	-999.25	1219.611084	400940.5938	87050.89844
1230.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.411133	-999.25	1219.711182	400940.5938	87050.89844
1230.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.511231	-999.25	1219.811279	400940.5938	87050.89844
1230.6	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.611206	-999.25	1219.911255	400940.5938	87050.89844
1230.7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.711304	-999.25	1220.011353	400940.5938	87050.89844
1230.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.811279	-999.25	1220.111328	400940.5938	87050.89844
1230.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1230.911377	-999.25	1220.211426	400940.5938	87050.89844
1231	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.011353	-999.25	1220.311401	400940.5938	87050.89844
1231.1	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.11145	-999.25	1220.411499	400940.5938	87050.89844
1231.2	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.211426	-999.25	1220.511475	400940.5938	87050.89844
1231.3	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.311523	-999.25	1220.611572	400940.5938	87050.89844
